customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
5604922,83412126,,1,Tiki Trading,2,,,2021-04-13 03:42:32+00:00,2021-04-14 09:37:59+00:00,9223343
1983545,83412126,,1,Tiki Trading,4,,,2021-04-15 08:00:41+00:00,2021-04-20 10:56:10+00:00,9276724
5942470,83412126,,38510,JoyMall LocknLock Chính Hãng,2,,,2021-12-17 13:48:51+00:00,2021-12-21 14:03:45+00:00,14086732
18354322,83412126,,1,Tiki Trading,3,,,2022-01-10 09:43:04+00:00,2022-01-13 11:38:51+00:00,14982554
11482106,83412126,,38510,JoyMall LocknLock Chính Hãng,2,,,2022-11-25 13:24:23+00:00,2022-11-27 09:35:41+00:00,18296880
4112,83412126,,1,Tiki Trading,4,,,2022-03-03 08:45:54+00:00,2022-03-04 09:16:27+00:00,17445444
16364115,83412126,,1,Tiki Trading,4,,,2021-10-11 13:22:45+00:00,2021-10-14 12:03:35+00:00,12752368
14341766,83412126,,1,Tiki Trading,2,,,2023-10-07 09:13:11+00:00,2023-10-09 10:12:37+00:00,19577755
10935933,83412126,,1,Tiki Trading,4,,,2022-02-11 12:04:33+00:00,2022-02-12 11:44:14+00:00,16072174
11379299,83412126,,1,Tiki Trading,1,,,2022-07-14 03:01:36+00:00,2022-07-14 11:34:51+00:00,17098075
28157122,83412126,,1,Tiki Trading,3,,,2022-09-09 11:50:24+00:00,2022-09-13 11:00:56+00:00,17689075
6493578,83412126,,38510,Điện Máy Đồ Dùng Gia Đình,1,,,2022-05-19 11:55:45+00:00,2022-05-23 09:24:45+00:00,16433887
323368,83412126,,1,Tiki Trading,3,,,2021-03-25 16:17:08+00:00,2021-03-27 09:49:13+00:00,8698076
176745,83412126,,1,Tiki Trading,4,,,2022-04-15 01:17:22+00:00,2022-04-15 10:04:16+00:00,15931737
17613512,83412126,,1,Tiki Trading,2,,,2022-07-05 15:12:17+00:00,2022-07-09 16:52:28+00:00,17008214
10254367,83412126,,38510,Điện Máy Đồ Dùng Gia Đình,4,,,2022-04-05 04:14:19+00:00,2022-04-07 09:20:40+00:00,15810471
6046012,83412126,,1,Tiki Trading,1,,,2021-11-11 07:22:15+00:00,2021-11-23 19:42:34+00:00,13526520
811744,83412126,,1,Tiki Trading,4,,,2021-12-02 07:16:55+00:00,2021-12-02 16:11:42+00:00,13587189
